ID,Name,Alignment,Gender,Intelligence,Strength,Speed,Durability,Power,Combat,Total,Height,Weight,SkinColor,EyeColor,HairColor,Race
0,3-D Man,good,Male,50,31,43,32,25,52,233,203,441,-,yellow,No Hair,Human
1,A-Bomb,good,Male,38,100,17,80,17,64,316,191,65,blue,blue,No Hair,Icthyo Sapien
2,Abe Sapien,good,Male,88,14,35,42,35,85,299,185,90,red,blue,No Hair,Ungaran
3,Abin Sur,good,Male,50,90,53,64,84,65,406,203,441,-,green,No Hair,Human / Radiation
4,Abomination,bad,Male,63,80,53,90,55,95,436,-99,-99,-,blue,Black,Cosmic Entity
5,Abraxas,bad,Male,88,100,83,99,100,56,526,193,122,-,blue,No Hair,Human
6,Adam Monroe,good,Male,63,10,12,100,71,64,320,-99,-99,-,blue,Blond,-
7,Adam Strange,good,Male,1,1,1,1,0,1,5,185,88,-,blue,Blond,Human
8,Agent  13,good,Female,1,1,1,1,0,1,5,173,61,-,blue,Blond,-
9,Agent Bob,good,Male,10,8,13,5,5,20,61,178,81,-,brown,Brown,Human
10,Agent Zero,good,Male,75,28,38,80,72,95,388,191,104,-,-,-,-
11,Air-Walker,bad,Male,50,85,100,85,100,40,460,188,108,-,blue,White,-
12,Alan Scott,good,Male,63,80,23,90,98,32,386,193,90,-,brown,Black,Cyborg
13,Alex Woolsly,good,Male,1,1,1,1,0,1,5,180,90,-,blue,Blond,-
14,Alfred Pennyworth,good,Male,63,10,17,10,7,55,162,-99,-99,-,-,-,Human
15,Allan Quatermain,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
16,Amazo,bad,Male,75,100,100,100,100,100,575,178,72,-,blue,Black,Human
17,Ammo,bad,Male,1,1,1,1,0,1,5,244,169,black,-,No Hair,Xenomorph XX121
18,Ando Masahashi,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
19,Angel,good,Male,63,13,46,64,17,42,245,257,173,-,red,-,Android
20,Angel Salvadore,good,Male,38,10,28,28,46,60,210,188,101,-,brown,Black,Human
21,Angela,bad,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
22,Animal Man,good,Male,56,48,47,85,73,80,389,183,68,-,blue,Blond,-
23,Annihilus,bad,Male,75,80,47,56,59,64,381,-99,-99,-,-,-,Vampire
24,Ant-Man,good,Female,100,10,23,28,32,32,225,165,57,-,yellow,Black,Mutant
25,Ant-Man II,good,Female,63,10,23,28,32,28,184,163,54,-,brown,Black,-
26,Anti-Monitor,bad,Female,88,90,38,90,100,90,496,-99,-99,-,-,-,-
27,Anti-Spawn,bad,Male,1,1,1,1,0,1,5,183,83,-,blue,Blond,Human
29,Apocalypse,bad,Male,100,100,33,100,100,60,493,211,122,-,blue,Blond,Human
30,Aquababy,good,Male,10,16,12,14,37,14,103,183,86,-,blue,Blond,Human
31,Aqualad,good,Male,63,44,42,75,76,60,360,61,-99,-,yellow,No Hair,God / Eternal
32,Aquaman,good,Male,63,80,50,80,65,80,418,-99,-99,-,-,-,-
33,Arachne,good,Male,1,1,1,1,0,1,5,229,358,-,blue,Blond,Symbiote
34,Archangel,good,Male,63,13,58,64,28,42,268,213,135,grey,red,Black,Mutant
35,Arclight,bad,Male,38,63,23,42,52,70,288,-99,-99,-,blue,Blond,-
36,Ares,good,Male,75,82,35,80,62,101,435,178,106,-,blue,Black,Atlantean
37,Ariel,good,Male,50,10,12,14,72,28,186,185,146,-,blue,Blond,Atlantean
38,Armor,good,Female,50,63,12,80,55,54,314,175,63,-,blue,Blond,Human
39,Arsenal,good,Male,1,1,1,1,0,1,5,183,68,blue,blue,Blond,Mutant
40,Astro Boy,good,Female,1,1,1,1,0,1,5,173,57,-,violet,Purple,-
41,Atlas,good,Female,50,80,23,99,69,42,363,193,98,gold,white,Orange,Alien
42,Atom,good,Male,1,1,1,1,0,1,5,185,270,-,brown,Brown,-
43,Atom Girl,good,Female,38,10,23,28,38,42,179,165,59,-,purple,Pink,-
44,Atom I,good,Female,1,1,1,1,0,1,5,163,50,-,black,Black,-
45,Atom II,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,Human
47,Atom IV,good,Male,1,1,1,1,0,1,5,183,101,-,brown,Red,Mutant
48,Aurora,good,Male,50,15,83,56,69,56,329,198,126,-,blue,Brown,God / Eternal
49,Azazel,bad,Male,50,11,47,95,87,80,370,178,68,-,blue,Red,-
50,Azrael,good,Male,63,18,17,20,35,80,233,-99,-99,-,-,-,-
51,Aztar,good,Female,1,1,1,1,0,1,5,168,54,-,black,Black,-
52,Bane,bad,Male,88,53,23,56,51,95,366,183,81,-,brown,Auburn,Human
53,Banshee,good,Male,50,10,58,42,60,70,290,-99,-99,-,-,Red,-
54,Bantam,good,Male,25,53,23,54,21,56,232,-99,72,-,brown,Black,-
55,Batgirl I,good,Female,1,1,1,1,0,1,5,180,63,-,blue,Black,Mutant
56,Batgirl II,good,Male,1,1,1,1,0,1,5,183,67,red,yellow,Black,Neyaphem
57,Batgirl III,good,Male,1,1,1,1,0,1,5,-99,-99,-,brown,Black,Human
58,Batgirl IV,good,Male,69,12,27,56,42,100,306,-99,-99,-,-,-,-
59,Batgirl V,good,Male,1,1,1,1,0,1,5,203,180,-,-,-,Human
60,Batgirl VI,good,Male,75,10,23,28,22,80,238,183,77,-,green,Strawberry Blond,Human
61,Batman,good,Male,100,18,27,42,37,100,324,165,54,-,brown,Black,-
62,Batman II,good,Female,88,11,33,28,36,100,296,-99,-99,-,-,-,-
63,Battlestar,good,Female,50,53,35,74,48,74,334,170,57,-,green,Red,Human
64,Beak,good,Female,1,1,1,1,0,1,5,-99,-99,-,-,-,-
65,Beast,good,Female,88,48,35,56,35,84,346,165,52,-,green,Black,Human
66,Beast Boy,good,Female,50,28,50,70,79,40,317,-99,-99,-,-,-,-
67,Beetle,bad,Female,1,1,1,1,0,1,5,168,61,-,blue,Blond,-
68,Ben 10,good,Male,10,7,8,10,90,40,165,188,95,-,blue,black,Human
69,Beta Ray Bill,good,Male,63,80,35,95,100,84,457,178,77,-,blue,Black,Human
70,Beyonder,good,Male,88,100,23,100,100,56,467,178,79,-,blue,Black,Human
71,Big Barda,good,Male,63,90,23,85,42,72,375,198,133,-,brown,Black,-
72,Big Daddy,good,Female,38,10,12,32,22,64,178,178,-99,-,green,Red,Human
73,Big Man,bad,Male,75,12,23,28,19,70,227,175,63,-,black,White,-
74,Bill Harken,good,Male,63,36,33,60,23,40,255,180,181,blue,blue,Blue,Mutant
75,Billy Kincaid,bad,Male,1,1,1,1,0,1,5,173,68,green,green,Green,Human
76,Binary,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
77,Bird-Brain,good,Male,25,10,35,28,21,42,161,-99,-99,-,-,-,-
78,Bird-Man,bad,Male,1,1,1,1,0,1,5,201,216,-,-,No Hair,-
79,Bird-Man II,bad,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,God / Eternal
80,Birdman,good,Female,1,1,1,1,0,1,5,188,135,-,blue,Black,New God
81,Bishop,good,Male,63,14,23,75,85,65,325,-99,-99,-,-,-,-
82,Bizarro,neutral,Male,75,95,100,100,95,85,550,165,71,-,blue,Brown,-
83,Black Abbott,bad,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,Alpha
84,Black Adam,bad,Male,88,100,92,100,89,56,525,-99,-99,-,-,-,-
85,Black Bolt,good,Female,75,67,100,84,100,56,482,180,54,-,blue,Blond,-
87,Black Canary II,good,-,1,1,1,1,0,1,5,-99,-99,-,-,-,-
88,Black Cat,good,Male,75,16,33,10,23,70,227,-99,-99,-,-,-,Human
89,Black Goliath,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,Human
90,Black Knight III,good,Male,63,10,8,70,43,70,264,-99,-99,-,-,-,God / Eternal
91,Black Lightning,good,Male,50,11,53,28,70,75,287,198,124,-,brown,No Hair,Mutant
92,Black Mamba,bad,Male,75,10,35,42,78,65,305,191,155,white,black,Black,Bizarro
93,Black Panther,good,Male,88,16,30,60,41,100,335,-99,-99,-,red,Black,-
94,Black Widow,good,Male,75,13,27,32,32,100,279,191,113,-,brown,Black,-
95,Black Widow II,good,Male,1,1,1,1,0,1,5,188,95,-,blue,Black,Inhuman
96,Blackout,bad,Female,63,32,45,80,38,65,323,165,58,-,blue,Blond,Human
97,Blackwing,bad,Female,38,10,35,32,20,56,191,170,59,-,blue,Blond,Metahuman
99,Blade,good,Male,63,28,38,50,33,90,302,-99,-99,-,-,-,God / Eternal
100,Blaquesmith,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
101,Bling!,good,Male,69,14,12,90,52,28,265,183,86,-,brown,Brown,Human
102,Blink,good,Male,50,8,20,28,55,64,225,185,90,-,brown,No Hair,-
103,Blizzard,bad,Female,1,1,1,1,0,1,5,170,52,-,green,Black,-
104,Blizzard I,bad,Male,1,1,1,1,0,1,5,188,92,-,black,No Hair,Human
105,Blizzard II,bad,Male,38,10,27,42,47,56,220,183,90,-,brown,Black,Human
106,Blob,bad,Female,10,83,23,95,26,72,309,170,59,-,green,Auburn,Human
107,Bloodaxe,bad,Female,63,80,33,80,84,84,424,170,61,-,blue,Blond,-
108,Bloodhawk,good,Male,50,10,50,80,66,64,320,191,104,white,red,White,Demon
109,Bloodwraith,bad,Male,1,1,1,1,0,1,5,185,86,-,blue,Black,-
110,Blue Beetle,good,Male,1,1,1,1,0,1,5,188,88,-,red,White,Alien
111,Blue Beetle I,good,Male,1,1,1,1,0,1,5,188,97,-,brown,Black,Vampire
112,Blue Beetle II,good,-,1,1,1,1,0,1,5,-99,-99,-,black,No Hair,-
113,Blue Beetle III,good,Female,50,34,58,80,97,30,349,168,68,-,-,-,-
114,Bolt,good,Female,1,1,1,1,0,1,5,165,56,pink,green,Magenta,Mutant
115,Bomb Queen,bad,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
116,Boom Boom,good,Male,38,10,12,42,56,64,222,-99,-99,-,-,Brown,-
117,Boomer,good,Male,1,1,1,1,0,1,5,175,77,-,brown,Brown,-
118,Booster Gold,good,Male,56,85,53,50,72,40,356,178,230,-,brown,Brown,-
119,Box,good,Female,1,1,1,1,0,1,5,218,495,-,blue,Brown,Human
120,Box III,good,Male,1,1,1,1,0,1,5,-99,-99,-,black,No Hair,Mutant
121,Box IV,good,Male,50,75,23,28,11,56,243,30.5,-99,-,white,No Hair,-
122,Brainiac,bad,Male,100,28,63,90,60,75,416,-99,-99,-,blue,Brown,-
123,Brainiac 5,good,Male,100,10,23,28,60,32,253,-99,-99,-,-,-,-
124,Brother Voodoo,good,Male,1,1,1,1,0,1,5,183,86,-,blue,Brown,-
125,Bullseye,bad,Male,50,11,25,70,20,70,246,-99,-99,-,brown,Black,Human
126,Bumblebee,good,Male,63,28,25,10,45,35,206,183,-99,-,brown,Black,Human / Clone
127,Bumbleboy,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
128,Bushido,good,Female,38,10,8,10,19,70,155,-99,-99,-,-,-,-
129,Cable,good,Female,88,48,23,56,100,80,395,165,55,-,blue,Blond,Mutant
130,Callisto,bad,Female,63,53,23,42,45,85,311,-99,-99,-,-,-,-
131,Cameron Hicks,good,Male,50,10,23,28,51,70,232,196,97,-,blue,Blond,Human
132,Cannonball,good,Male,50,28,67,99,79,56,379,-99,-99,-,-,-,-
133,Captain America,good,-,63,19,35,56,46,100,319,193,110,-,blue,Blond,-
134,Captain Atom,good,-,1,1,1,1,0,1,5,-99,-99,-,brown,Brown / Black,-
135,Captain Britain,good,Male,75,77,50,60,31,80,373,198,135,green,green,No Hair,Android
136,Captain Epic,good,Male,1,1,1,1,0,1,5,170,61,-,green,Blond,-
137,Captain Mar-vell,good,Male,1,1,1,1,0,1,5,183,99,-,brown,Brown / White,Human
139,Captain Marvel II,good,Female,75,81,27,90,34,56,363,157,52,-,green,Blond,Human
140,Captain Planet,good,Male,1,1,1,1,0,1,5,183,90,-,blue,blond,Human
141,Captain Universe,good,Female,1,1,1,1,0,1,5,170,59,-,brown,Black,Human
142,Carnage,bad,Male,63,63,70,84,81,90,451,-99,-99,-,-,-,-
143,Cat,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,Human
144,Cat II,good,Male,1,1,1,1,0,1,5,203,158,-,blue,White,Mutant
145,Catwoman,good,Female,63,13,33,28,24,85,246,175,74,-,blue,Black,-
146,Cecilia Reyes,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,Alpha
147,Century,good,Male,88,80,53,64,74,100,459,183,81,-,blue,Blond,-
148,Cerebra,good,Male,1,1,1,1,0,1,5,188,108,-,blue,blond,Human
149,Chamber,good,Male,50,10,20,80,57,64,281,193,90,silver,blue,Silver,Human / Radiation
150,Chameleon,bad,Male,88,10,12,28,28,28,194,198,116,-,blue,Blond,Human
151,Changeling,bad,Male,63,10,23,42,64,64,266,-99,-99,-,brown,Brown,Human
152,Cheetah I,bad,Male,1,1,1,1,0,1,5,188,-99,-,blue,Brown,-
153,Cheetah II,bad,Male,1,1,1,1,0,1,5,-99,-99,-,-,Black,Human
154,Cheetah III,bad,Male,1,1,1,1,0,1,5,188,108,-,blue,Blond,-
155,Chromos,bad,Female,1,1,1,1,0,1,5,180,74,-,blue,Blond,Human-Kree
156,Chuck Norris,good,Male,50,80,47,56,42,99,374,193,101,-,blue,Black,Human
157,Claire Bennet,good,Male,38,9,12,100,73,28,260,175,74,-,blue,Black,Human
158,Clea,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,Human
159,Cloak,good,Male,63,10,47,64,74,56,314,-99,-99,-,red,Green,God / Eternal
160,Cogliostro,bad,-,1,1,1,1,0,1,5,-99,-99,-,-,-,God / Eternal
161,Colin Wagner,good,Male,1,1,1,1,0,1,5,185,86,-,green,Red,Symbiote
162,Colossal Boy,good,Female,1,1,1,1,0,1,5,173,61,-,blue,Blond,-
163,Colossus,good,Female,63,83,33,100,46,80,405,-99,-99,-,-,-,-
164,Corsair,good,Female,1,1,1,1,0,1,5,175,61,-,green,Black,Human
165,Crimson Crusader,good,-,1,1,1,1,0,1,5,170,62,-,brown,Brown,-
166,Crimson Dynamo I,good,Male,1,1,1,1,0,1,5,201,97,grey,white,White,Alien
167,Crystal,good,Female,63,16,12,14,57,56,218,-99,-99,-,-,-,Mutant
168,Curse,bad,Male,1,1,1,1,0,1,5,175,63,-,brown,Brown,Mutant
169,Cy-Gor,bad,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
170,Cyborg,good,Male,75,53,42,85,72,64,391,180,81,-,brown,Black,-
171,Cyborg Superman,bad,Female,75,93,92,100,100,80,540,163,50,-,green,Blond,Human
172,Cyclops,good,Female,75,10,23,42,76,80,306,170,55,-,green,Brown,Human
173,Cypher,good,Female,1,1,1,1,0,1,5,175,54,-,brown,Brown,Human
174,Dagger,good,Male,63,10,35,42,52,70,272,185,86,-,brown,Red / Grey,-
176,Daphne Powell,good,Male,38,10,8,10,56,10,132,183,170,-,green,Red,Human
177,Daredevil,good,Female,75,13,27,28,57,95,295,-99,-99,-,blue,Blond,-
178,Darkhawk,good,-,50,32,33,70,74,64,323,-99,-99,-,-,White,-
179,Darkman,good,Male,75,14,23,85,12,28,237,226,70,-,brown,black,-
180,Darkseid,bad,Male,88,100,23,100,100,95,506,178,78,-,blue,Black,Human
181,Darkside,bad,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
182,Darkstar,good,Male,38,8,35,42,52,64,239,-99,-99,-,grey,Brown,-
183,Dash,good,Male,9,4,83,42,12,28,178,-99,-99,-,-,-,-
184,Dazzler,good,Male,63,10,35,42,64,56,270,226,225,-,silver,Black,Mutant
185,Deadman,good,Female,50,10,33,100,100,42,335,183,67,blue,red,White,Mutant
186,Deadpool,neutral,Male,50,15,30,100,100,100,395,191,79,-,brown,Brown,-
187,Deadshot,bad,Male,50,10,23,28,47,80,238,183,99,-,brown,Black,Human
188,Deathlok,good,Male,69,32,30,70,40,60,301,-99,-99,-,blue,Strawberry Blond,-
189,Deathstroke,neutral,Male,75,30,35,100,36,90,366,180,104,-,brown,No Hair,-
190,Demogoblin,bad,Female,50,48,42,35,54,60,289,168,50,-,green,Red,Inhuman
191,Destroyer,bad,Male,50,95,58,98,90,70,461,-99,-99,-,-,-,-
192,DL Hawkins,good,Male,50,12,12,56,48,56,234,-99,-99,-,-,-,-
193,Doc Samson,good,Male,75,80,33,80,36,70,374,198,173,-,brown,Black,Cyborg
194,Doctor Doom,bad,Male,100,32,20,100,93,84,429,-99,-99,-,blue,Black,Cyborg
195,Doctor Doom II,bad,Male,1,32,1,1,0,1,36,191,88,-,brown,Brown,Mutant
196,Doctor Fate,good,-,81,16,25,80,100,50,352,175,68,-,blue,Blond,-
197,Doctor Octopus,bad,Female,1,1,1,1,0,1,5,165,52,-,blue,Blond,-
198,Doctor Strange,good,Male,100,10,12,84,100,60,366,-99,-99,-,brown,Blond,-
199,Domino,good,Female,63,10,27,28,49,74,251,-99,-99,-,-,-,-
200,Donna Troy,good,Male,1,1,1,1,0,1,5,183,90,-,blue,Red,Human
201,Doomsday,bad,Male,88,80,67,120,100,90,545,185,81,-,brown,Brown,Human
202,Doppelganger,bad,Male,8,63,60,95,62,84,372,-99,-99,-,-,-,-
203,Dormammu,bad,Male,88,95,83,100,100,80,546,267,817,grey,red,No Hair,New God
205,Ego,bad,Female,88,80,83,99,71,28,449,168,56,-,brown,Blond,Mutant
206,Elastigirl,good,Male,38,32,12,90,20,14,206,170,-99,red / black,yellow / red,-,Dathomirian Zabrak
207,Electro,bad,Male,69,10,50,56,67,64,316,198,135,-,yellow,No Hair,Cyborg
208,Elektra,good,Male,63,11,30,28,59,100,291,122,27,-,blue,Blond,Human
209,Elle Bishop,bad,Male,50,8,12,42,63,42,217,-99,-99,-,yellow,Brown,Android
210,Elongated Man,good,Female,38,10,27,90,41,42,248,173,52,-,blue,Blond,Mutant
211,Emma Frost,good,Male,75,63,35,90,82,42,387,183,90,-,blue,Black,Human
212,Energy,good,Male,1,1,1,1,0,1,5,188,95,-,brown,No Hair,Mutant
213,ERG-1,good,Male,1,1,1,1,0,1,5,185,91,-,brown,Brown,Human
214,Evilhawk,bad,Male,50,32,33,70,78,64,327,193,178,-,brown,Grey,Cyborg
215,Exodus,bad,Male,63,81,28,28,100,70,370,193,101,-,blue,White,Human
216,Fabian Cortez,bad,Male,1,1,1,1,0,1,5,185,95,-,red,No Hair,Demon
217,Falcon,good,Male,38,13,50,28,22,64,215,188,383,-,-,-,-
218,Fallen One II,bad,Male,88,85,83,100,100,56,512,193,90,-,brown,Black,Human
219,Faora,bad,Male,88,95,75,100,87,90,535,-99,-99,-,-,-,-
220,Feral,good,Male,38,28,45,28,20,70,229,198,171,-,blue,Green,Human / Radiation
221,Fighting Spirit,good,Male,1,1,1,1,0,1,5,201,187,-,brown,Brown,Human
222,Fin Fang Foom,good,Male,50,81,23,100,68,70,392,201,132,-,brown,Brown,-
223,Firebird,good,Male,38,8,40,14,90,42,232,188,89,-,blue,Blond,Human
224,Firelord,good,Male,38,63,75,90,48,28,342,175,110,-,brown,Brown,Human
225,Firestar,good,Male,50,8,54,55,71,32,270,188,81,-,grey,Black,Human
226,Firestorm,good,Female,50,53,58,56,100,42,359,173,54,white,blue,Black,Human
227,Fixer,bad,Male,1,1,1,1,0,1,5,-99,-99,green,green,No Hair,Mutant
228,Flash Gordon,good,Female,1,1,1,1,0,1,5,175,63,-,blue,Black,Amazon
229,Flash I,good,Male,63,10,100,50,57,32,312,244,412,-,red,White,Alien
230,Flash II,good,Male,63,10,100,60,66,32,331,196,104,-,white,No Hair,-
231,Flash III,good,Male,63,10,100,60,83,32,348,185,-99,-,yellow,No Hair,-
232,Flash IV,good,Male,63,10,100,32,59,48,312,-99,-99,blue,white,No Hair,Human / Cosmic
233,Forge,good,Male,63,10,12,28,12,48,173,193,306,green,red,No Hair,Human / Altered
234,Franklin Richards,good,-,1,1,1,1,0,1,5,-99,-99,-,-,-,-
235,Franklin Storm,good,Female,38,10,1,1,0,10,60,168,56,-,brown,Brown,Human
236,Frenzy,bad,Male,63,53,35,100,38,52,341,180,74,-,blue,Auburn,Human
237,Frigga,good,Female,1,1,1,1,0,1,5,175,59,-,blue,Black,Human
238,Galactus,neutral,Female,100,100,83,100,100,70,553,-99,-99,-,blue,Blond,-
239,Gambit,good,Male,63,10,23,28,55,84,263,185,80,-,blue,Red,-
240,Garbage Man,good,Female,1,1,1,1,0,1,5,178,65,-,blue,Blond,-
241,Gary Bell,good,Female,63,5,8,10,54,10,150,168,57,-,blue,Blond,Human
242,General Zod,bad,Female,94,100,96,100,94,95,579,-99,-99,-,-,-,-
243,Genesis,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
245,Ghost Rider II,good,Male,1,1,1,1,0,1,5,193,203,yellow,red,No Hair,Demon
246,Giant-Man,good,Male,1,1,1,1,0,1,5,188,95,-,white,Red,Mutant
247,Giant-Man II,good,Male,1,1,1,1,0,1,5,191,106,green,red,Black,Alien
248,Giganta,bad,Male,81,89,23,85,32,42,352,183,88,red,blue,Black,Mutant
249,Goblin Queen,bad,-,75,10,23,28,65,56,257,196,96,-,blue,Brown,-
250,Gog,bad,Male,50,34,47,72,39,56,298,188,108,-,brown,Black,Human
251,Goku,good,Male,56,100,75,90,100,100,521,-99,-99,-,black,Blue,-
252,Goliath,good,Female,1,1,1,1,0,1,5,-99,-99,-,-,-,Kryptonian
253,Goliath II,good,-,1,1,1,1,0,1,5,175,50,-,yellow (without irises),Orange / White,-
254,Goliath III,bad,Female,1,1,1,1,0,1,5,-99,-99,-,-,Red,-
255,Goliath IV,good,Male,1,1,1,1,0,1,5,975,18,green,red,No Hair,Kakarantharaian
256,Granny Goodness,bad,Female,1,1,1,1,0,1,5,165,56,-,brown,Black,-
257,Gravity,good,-,50,32,33,40,72,30,257,193,99,-,white,Yellow,-
258,Green Arrow,good,Female,75,12,35,28,26,90,266,173,56,-,green,Red,Mutant
259,Green Goblin,bad,Male,75,48,35,48,38,28,272,-99,-99,-,brown,Black,-
260,Green Goblin II,bad,Male,75,55,37,50,38,26,281,188,91,-,blue,Auburn,Human
261,Green Goblin III,good,-,1,1,1,1,0,1,5,-99,-99,-,red,No Hair,-
262,Green Goblin IV,good,Male,1,1,1,1,0,1,5,180,81,-,blue,Brown / White,Human
264,Guardian,good,Male,1,1,1,1,0,1,5,183,88,-,blue,Blond,Human
265,Guy Gardner,good,Male,38,80,27,64,97,64,370,183,86,-,-,-,Human
266,Hal Jordan,good,Male,63,90,53,64,100,56,426,157,52,-,yellow,Auburn,Human
267,Hancock,good,-,50,85,65,100,70,28,398,183,81,-,brown,Black,-
268,Harley Quinn,bad,Male,81,12,23,42,30,80,268,142,45,-,blue,Blond,Mutant
269,Havok,good,-,63,10,25,60,71,45,274,188,92,-,blue,Grey,-
270,Hawk,good,Female,38,38,35,95,36,42,284,211,104,-,brown,Black,-
271,Hawkeye,good,Female,50,12,23,14,26,80,205,180,167,-,blue,White,-
272,Hawkeye II,good,Male,50,6,8,10,24,50,148,876,16,-,black,Black,Cosmic Entity
273,Hawkgirl,good,Male,50,28,53,99,74,72,376,185,81,-,red,Brown,Mutant
274,Hawkman,good,Female,1,1,1,1,0,1,5,183,77,green,yellow,Black,Zen-Whoberian
275,Hawkwoman I,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,Mutant
276,Hawkwoman II,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,Alpha
277,Hawkwoman III,good,Male,1,1,1,1,0,1,5,-99,-99,-,black,Black,Kryptonian
278,Hellboy,good,Male,63,53,23,85,30,75,329,185,86,-,blue,Blond,-
279,Hellcat,good,Male,50,10,23,42,18,70,213,188,99,-,red,No Hair,Demon
280,Hellstorm,good,-,1,1,1,1,0,1,5,-99,-99,-,-,-,-
281,Hercules,good,Male,63,100,46,85,67,100,461,-99,-99,-,-,-,Human
282,Hiro Nakamura,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
283,Hit-Girl,good,Female,10,8,23,14,21,56,132,62.5,630,-,green,Red,-
284,Hobgoblin,bad,Male,1,1,1,1,0,1,5,198,268,purple,blue,Blue,Strontian
285,Hollow,good,Female,1,1,1,1,0,1,5,168,50,-,green,Red,-
287,Howard the Duck,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
288,Hulk,good,Male,88,100,47,100,41,85,461,175,62,-,-,-,Saiyan
289,Human Torch,good,Male,56,10,63,70,74,42,315,-99,-99,-,-,-,-
290,Huntress,good,Male,69,10,23,28,34,95,259,-99,-99,-,-,-,Human
291,Husk,good,Male,63,63,35,78,53,64,356,-99,-99,-,-,-,Human
292,Hydro-Man,bad,Male,38,13,25,80,66,50,272,183,90,-,brown,Black,-
293,Hyperion,good,Male,63,95,75,95,58,72,458,198,270,-,yellow,Black,Gorilla
294,Iceman,good,Female,63,32,53,100,100,64,412,178,115,-,blue,White,-
295,Impulse,good,Male,50,10,100,60,63,60,343,178,79,-,blue,Brown,Human
296,Ink,good,Male,38,28,17,40,66,50,239,170,-99,green,purple,-,Rodian
297,Invisible Woman,good,Male,69,10,27,70,74,56,306,188,88,-,green,Blond,Human
298,Iron Fist,good,Male,75,23,35,42,43,100,318,180,83,-,blue,Auburn,Human
299,Iron Man,good,Male,100,85,58,85,100,64,492,178,77,-,blue,Auburn,-
300,Iron Monger,bad,Male,88,63,25,90,57,56,379,183,88,-,-,-,-
301,Ironman,good,Male,1,1,1,1,0,1,5,178,79,-,green,Brown,-
302,Isis,good,Male,75,48,75,46,43,56,343,701,4,-,yellow,-,Flora Colossus
303,Jack Bauer,good,Male,1,1,1,1,0,1,5,-99,-99,-,brown,Black,Human
304,Jack of Hearts,good,Male,63,55,100,30,70,30,348,188,95,-,blue,Red,Human-Vuldarian
305,Jack-jack,good,Male,6,34,67,80,69,6,262,188,90,-,brown,Brown,Human
306,Jean Grey,good,Male,100,80,67,100,100,70,517,183,79,-,brown,Brown,Human
307,Jennifer Kale,good,Male,75,10,35,42,61,72,295,188,-99,-,brown,Black,Human
