ExterQual,AllFlrsSF,GrLivArea,SimplOverallCond,GarageArea,TotRmsAbvGrd,LotFrontage,SalePrice
4,1316,1316,2,397,6,65.0,169990
4,2028,2028,2,880,7,88.0,369900
3,1072,1072,2,525,5,35.0,140000
3,1048,1048,2,286,6,72.0,135000
3,1779,1779,2,546,6,80.0,197900
4,1200,1200,2,521,6,105.0,177500
3,924,924,2,280,5,88.0,110000
3,1679,1679,2,575,7,65.0,193500
3,840,840,3,0,5,55.0,87000
4,1936,1936,2,504,7,106.0,230500
4,1707,1707,2,511,6,0.0,228000
4,1456,1456,2,390,8,65.0,163990
4,1768,1768,2,543,8,65.0,224900
3,1978,1978,2,486,9,0.0,176000
3,1048,1048,2,420,7,60.0,98300
4,1419,1419,2,527,7,0.0,184100
4,1484,1484,2,472,6,64.0,265900
4,1928,1928,2,434,8,65.0,219500
4,1571,1571,3,380,7,59.0,178000
3,1121,1121,2,440,5,80.0,140000
4,1120,1200,2,480,4,30.0,144152
3,691,691,2,216,4,60.0,86000
3,875,875,3,180,5,51.0,105000
3,2380,2380,2,596,7,0.0,129000
3,987,987,2,264,5,21.0,100000
4,1734,1734,2,660,7,78.0,260000
3,1229,1229,2,462,5,24.0,124000
3,1120,1120,2,0,6,70.0,147000
3,1524,1524,2,315,7,78.0,144000
4,1479,1479,2,558,7,72.0,226000
4,2599,2599,2,779,10,108.0,333168
4,1252,1252,2,462,4,24.0,160000
3,1378,1378,3,360,7,60.0,161000
3,1632,1632,2,576,8,100.0,143000
3,2030,2030,2,551,8,0.0,195000
3,854,854,3,576,5,51.0,132000
4,1947,1947,2,678,8,100.0,254900
3,1505,1505,2,240,8,0.0,145000
3,1069,1069,2,440,4,53.0,140000
3,1920,1920,2,487,8,102.0,170000
3,2153,2358,2,0,8,50.0,122000
3,864,864,2,624,5,70.0,129900
4,2080,2080,3,282,9,53.0,234000
4,1573,1573,2,544,6,67.0,227000
3,1181,1181,2,588,6,90.0,137500
3,1339,1339,2,484,6,50.0,180000
3,1077,1077,1,338,6,60.0,67000
3,1120,1200,2,480,4,30.0,151000
3,1225,1225,2,0,6,77.0,128950
3,2134,2134,2,441,10,0.0,214500
3,1779,1779,2,454,6,102.0,170000
3,1134,1134,2,240,7,60.0,126000
3,1065,1065,2,461,6,80.0,126500
4,1786,1786,2,608,6,68.0,223500
4,1756,1756,2,422,7,0.0,204000
3,1968,1968,2,530,7,0.0,172000
3,1224,1224,2,402,5,0.0,165000
3,1429,1429,2,572,7,0.0,181900
3,1236,1236,2,447,6,72.0,134450
3,1283,1283,3,506,6,70.0,140000
3,1056,1056,2,304,6,65.0,142000
3,2142,2142,2,509,8,100.0,193500
3,1297,1297,2,498,5,74.0,153000
2,1374,1374,2,338,6,90.0,105000
3,1475,1475,2,336,6,41.0,127000
4,848,848,2,420,3,0.0,143000
4,985,985,3,328,6,65.0,149900
3,1340,1340,2,252,7,60.0,120000
4,1801,1801,2,800,8,72.0,239900
4,1844,1844,2,620,7,88.0,257000
3,2207,2207,2,576,7,0.0,180000
4,1792,1792,2,874,6,72.0,374000
3,960,960,3,364,3,0.0,145000
3,1482,1482,3,324,7,50.0,143000
3,438,438,2,246,3,60.0,60000
3,928,928,3,252,4,70.0,132000
4,1767,1767,3,504,5,44.0,239000
3,1724,1724,2,527,8,57.0,188000
3,2136,2136,1,528,7,89.0,137900
3,1728,1728,2,352,10,0.0,119000
3,1291,1291,2,431,6,0.0,173000
3,1090,1090,2,450,5,60.0,157000
3,1054,1054,3,480,6,80.0,137500
3,1868,1868,3,484,9,0.0,197500
3,1348,1348,3,216,5,50.0,117000
3,987,987,2,288,5,21.0,94500
3,1788,1788,2,304,8,0.0,161500
3,672,672,3,240,4,60.0,108000
4,1902,1902,3,567,7,100.0,335000
4,1337,1337,2,531,6,65.0,185000
5,2076,2076,2,850,7,107.0,465000
4,1414,1414,2,398,6,0.0,178740
3,1092,1092,2,299,6,69.0,141000
4,2256,2256,2,554,8,0.0,236000
3,901,901,3,281,4,50.0,107900
3,1824,1824,2,520,8,60.0,180500
3,1322,1322,2,440,6,24.0,147000
3,1601,1601,2,300,6,85.0,140000
4,2013,2013,2,455,8,92.0,269790
3,1279,1279,2,473,6,75.0,171500
3,1422,1422,2,576,7,78.0,175500
3,1422,1422,2,286,6,0.0,139900
4,1550,1550,2,438,7,65.0,241000
4,1466,1466,2,610,7,73.0,201000
3,2022,2022,2,505,8,83.0,192000
4,2452,2452,2,683,9,66.0,267000
5,1932,1932,2,774,7,96.0,394617
3,1040,1040,2,308,5,75.0,133000
3,1600,1600,2,319,6,47.0,207500
3,1053,1053,3,750,6,69.0,150000
4,1566,1566,2,750,7,75.0,262500
4,2398,2398,2,834,8,95.0,315750
3,1196,1196,3,440,5,40.0,109900
4,1929,1929,2,650,7,0.0,226000
3,784,784,2,0,5,50.0,109500
3,804,804,3,240,4,60.0,119000
4,1500,1500,2,570,6,63.0,190000
3,1198,1198,3,0,7,60.0,79900
3,1647,1647,2,216,6,66.0,128000
3,958,958,2,440,5,0.0,128000
4,1372,1372,2,529,6,72.0,250580
3,1478,1478,2,498,6,0.0,157500
4,1240,1240,2,826,5,74.0,194000
3,1935,1935,3,550,7,0.0,197900
3,1680,1680,2,528,8,0.0,136905
4,2046,2046,2,871,8,85.0,284000
3,1961,1961,2,560,7,71.0,215000
4,2167,2167,3,518,9,0.0,294000
3,1092,1092,2,288,6,0.0,139000
3,1818,1818,2,240,7,0.0,169500
3,1800,1800,2,463,7,60.0,179000
3,1593,1593,2,398,8,62.0,193000
4,1208,1208,2,632,6,64.0,206000
3,1453,1453,2,445,6,0.0,190000
3,2263,2263,3,539,9,0.0,235000
2,334,334,1,0,2,50.0,39300
3,1688,1688,2,603,8,79.0,200000
3,1252,1252,2,288,6,80.0,119000
3,1229,1229,2,284,6,0.0,135000
3,1513,1513,3,180,8,51.0,137500
3,1235,1235,1,480,6,85.0,98600
3,1040,1040,2,0,5,60.0,124000
4,1922,1922,2,676,8,86.0,377426
3,1060,1060,3,572,6,44.0,129900
3,894,894,3,336,5,65.0,138500
3,2521,2521,2,576,10,42.0,151400
4,1258,1258,3,528,5,80.0,145000
3,872,872,2,480,5,70.0,123000
3,1040,1040,2,420,4,60.0,109900
3,1523,1523,2,478,7,104.0,180000
5,999,999,3,588,6,0.0,178400
3,2414,2414,2,520,10,60.0,160000
4,1575,1575,2,529,5,50.0,179200
3,1844,1844,2,546,7,105.0,190000
3,1412,1412,2,432,6,73.0,156932
3,2108,2108,3,540,7,120.0,235000
3,773,773,2,240,4,57.0,110000
3,1103,1103,2,440,5,50.0,110500
3,1680,1680,3,308,8,63.0,177000
4,1490,1490,2,388,8,60.0,184000
3,1261,1261,2,433,6,76.0,163000
4,2183,2183,2,786,9,0.0,229000
3,1663,1663,2,529,6,0.0,256000
3,1386,1386,2,440,6,0.0,158900
4,1626,1626,2,474,6,36.0,173000
4,2263,2263,2,420,10,93.0,258000
3,2080,2080,2,504,9,70.0,135000
4,1391,1391,2,530,5,59.0,196000
3,1446,1446,2,406,6,57.0,175000
3,1913,1913,2,342,9,57.0,177000
4,1428,1428,2,554,6,91.0,227680
3,1178,1178,2,439,5,80.0,157000
3,1194,1194,2,539,6,79.0,159500
3,1652,1652,2,416,7,60.0,139000
3,864,864,2,576,4,70.0,97000
2,708,708,3,0,5,50.0,82500
3,990,990,2,576,5,43.0,156000
3,1725,1725,2,550,6,80.0,197000
3,1158,1158,2,576,5,63.0,158000
3,825,825,3,720,4,49.0,125000
4,1987,1987,2,691,7,91.0,301500
3,1117,1117,2,672,6,94.0,107000
3,1285,1285,2,240,6,50.0,127000
3,1416,1416,3,576,7,0.0,112000
4,1710,1710,2,548,8,65.0,208500
4,1479,1479,2,577,6,93.0,191000
3,1804,1804,2,442,7,60.0,189000
3,1196,1196,3,528,7,67.0,110000
3,900,900,2,288,6,68.0,123000
3,1501,1501,2,440,6,24.0,179400
3,2290,2290,2,560,11,60.0,122500
3,767,767,2,367,4,34.0,133000
3,1200,1200,2,0,5,60.0,179000
3,1382,1382,2,459,6,75.0,148000
3,1285,1285,2,528,7,71.0,143500
3,1771,1771,2,336,9,100.0,115000
4,2392,2392,2,870,7,82.0,348000
3,1700,1700,2,447,6,70.0,165500
4,848,848,2,420,3,37.0,136500
3,882,882,2,461,5,70.0,112500
3,1132,1132,2,451,5,60.0,176000
3,1008,1008,2,275,4,0.0,137000
3,1563,1563,2,758,6,78.0,245000
3,1370,1370,2,479,6,80.0,152000
4,848,848,2,420,4,0.0,144000
3,1304,1304,2,336,4,0.0,115000
3,971,971,2,300,5,69.0,128500
3,1593,1593,2,389,7,0.0,178000
4,1845,1845,2,462,8,70.0,189000
3,1360,1360,2,297,6,60.0,125500
3,1200,1200,3,884,6,71.0,146000
3,1109,1109,3,288,5,70.0,139000
3,1039,1039,2,504,6,75.0,131500
3,1144,1144,2,796,6,70.0,143000
3,1548,1548,2,440,7,24.0,155000
3,1920,1920,2,400,10,95.0,137000
3,965,965,2,300,6,60.0,119900
3,2002,2002,2,871,8,82.0,145000
3,968,968,2,0,6,50.0,37900
4,1944,1944,2,708,8,90.0,360000
4,1850,1850,2,467,7,0.0,248000
3,1559,1559,2,812,5,90.0,153500
4,1262,1262,2,572,5,60.0,185000
3,2171,2555,3,672,11,79.0,191000
3,1355,1355,3,0,7,60.0,127000
3,1080,1080,2,0,6,63.0,141000
3,1812,1812,2,264,8,69.0,169500
3,1477,1477,3,216,6,52.0,145000
3,1383,1383,2,292,7,80.0,145250
3,1073,1073,3,515,6,79.0,156000
3,774,774,2,0,6,70.0,79000
3,1664,1664,3,420,7,50.0,159000
3,1416,1416,3,720,7,100.0,153900
4,1895,1895,2,409,7,0.0,194500
3,1363,1363,3,439,5,73.0,241500
3,894,894,3,450,5,57.0,130000
4,1560,1560,2,400,6,122.0,174000
3,1616,1616,3,216,5,40.0,152000
3,864,864,3,0,4,56.0,99900
3,2267,2320,2,672,7,0.0,169000
4,1709,1709,2,380,7,24.0,130000
4,1719,1719,2,473,6,32.0,324000
5,1684,1684,2,564,6,63.0,266000
3,1517,1517,3,0,7,85.0,115000
3,1096,1096,2,0,5,60.0,79000
3,1362,1362,3,502,6,60.0,128000
3,1456,1456,2,440,7,24.0,146000
2,904,904,1,0,4,0.0,61000
4,1298,1298,2,403,5,0.0,180000
4,1362,1362,2,460,6,61.0,194700
4,1850,1850,2,772,8,98.0,326000
3,2514,2514,2,693,8,0.0,250000
3,1582,1582,2,390,7,0.0,190000
3,2117,2117,3,550,7,0.0,237500
3,1969,1969,2,534,8,92.0,190000
3,912,912,3,576,5,72.0,147000
3,1004,1004,3,480,5,0.0,149000
4,1776,1776,2,474,7,65.0,192500
3,1092,1092,2,264,6,21.0,88000
3,988,988,2,297,5,21.0,91000
3,1721,1721,2,440,7,78.0,180000
3,1262,1262,3,460,6,80.0,181500
4,904,904,3,180,4,50.0,119000
3,1126,1126,2,540,6,0.0,175000
3,1472,1472,2,588,6,0.0,187500
3,1383,1383,2,354,6,0.0,165000
4,1441,1441,2,492,5,24.0,174000
3,1126,1126,2,484,5,80.0,160000
3,860,860,2,528,4,74.0,137000
4,2468,2468,2,872,10,99.0,354000
4,2132,2132,3,612,5,79.0,316600
3,987,987,2,264,5,21.0,83000
4,1625,1625,2,538,5,44.0,235000
3,960,960,2,308,5,50.0,108500
3,1154,1154,2,480,6,0.0,154000
4,2526,2526,2,844,8,92.0,290000
4,1370,1370,2,484,6,44.0,202500
3,1211,1211,2,322,5,55.0,134000
3,990,990,2,0,5,60.0,123600
4,1314,1314,2,626,6,34.0,230000
5,1766,1766,2,478,7,85.0,370878
3,1040,1040,3,625,5,60.0,109500
3,1440,1440,2,0,8,92.0,118000
3,912,912,2,0,3,52.0,80500
4,2113,2113,2,839,7,91.0,350000
4,2097,2097,2,678,9,59.0,228000
3,864,864,2,528,5,60.0,120500
3,1126,1126,2,520,5,67.0,108000
4,1368,1368,2,474,6,40.0,202665
3,1244,1244,2,336,6,90.0,150000
3,1271,1271,2,312,7,115.0,135000
3,1116,1116,2,440,5,87.0,160000
4,1537,1537,3,462,7,80.0,174000
4,1788,1788,2,522,7,0.0,236500
4,1525,1525,2,440,5,0.0,177000
4,1665,1665,2,562,7,65.0,205950
3,1774,1774,1,779,8,60.0,87000
4,1630,1630,2,860,8,61.0,295493
4,1310,1310,2,400,6,65.0,164990
4,1616,1616,2,608,5,39.0,236500
3,1577,1577,2,312,6,65.0,140200
3,864,864,1,0,5,45.0,67000
3,1306,1306,1,0,6,55.0,76500
3,1003,1003,2,588,6,37.0,142500
4,1749,2230,2,440,10,60.0,118500
3,1750,1750,3,423,7,75.0,160000
3,1212,1212,3,492,6,88.0,151000
3,988,988,2,540,4,0.0,180000
3,893,893,3,576,4,60.0,135000
4,1948,1948,2,434,8,41.0,195000
4,1248,1248,2,438,5,43.0,167240
3,1772,2192,3,240,8,60.0,179500
3,1268,1268,2,244,7,78.0,132000
4,1431,1431,2,666,6,68.0,192000
4,1919,1919,2,685,8,120.0,233230
3,1040,1040,2,420,6,60.0,90000
4,1145,1145,2,397,5,43.0,160200
3,768,768,3,624,5,54.0,129500
4,1605,1605,2,379,8,60.0,107400
3,1812,1812,3,672,8,76.0,140000
4,1640,1640,2,520,6,65.0,173000
3,1365,1365,2,440,6,24.0,122500
3,796,796,2,0,5,40.0,55000
4,1402,1402,2,648,7,53.0,194201
3,1738,1738,2,368,7,0.0,104900
5,2324,2324,2,736,11,85.0,345000
3,1352,1352,3,299,7,80.0,158000
3,924,924,3,576,6,60.0,122900
3,1092,1092,3,504,6,75.0,145000
3,1824,1824,2,739,5,0.0,302000
4,1306,1306,2,624,5,34.0,196000
3,864,864,3,720,5,60.0,129000
4,968,968,2,480,5,60.0,100000
4,1428,1428,2,480,6,95.0,182000
3,1080,1080,2,484,5,71.0,134000
3,1118,1118,3,410,5,65.0,119900
5,2402,2402,2,672,10,105.0,555000
3,980,980,2,484,6,71.0,135000
3,1232,1232,2,516,6,0.0,162500
4,864,864,3,336,6,0.0,136500
4,914,914,2,576,5,57.0,148000
3,1442,1442,2,500,5,99.0,180500
3,900,900,2,280,5,0.0,122000
4,1739,1739,2,480,7,24.0,172500
4,1953,1953,2,501,9,0.0,240000
3,1218,1218,2,264,7,21.0,113000
3,1701,1701,2,611,6,0.0,171000
3,858,858,2,576,5,0.0,134900
3,1218,1218,2,0,7,21.0,91500
3,1389,1389,3,240,6,60.0,135000
3,894,894,2,450,5,109.0,129000
3,1501,1501,2,420,6,0.0,165600
4,1582,1582,2,520,6,64.0,185900
4,1744,1744,3,457,7,0.0,194500
4,1414,1414,2,494,6,65.0,185500
4,1644,1644,2,569,5,0.0,275000
3,1124,1124,2,0,5,77.0,93000
3,1128,1128,2,525,6,80.0,155000
3,816,816,2,0,5,81.0,118500
4,1790,1790,2,588,7,68.0,193000
3,2158,2158,3,576,7,84.0,243000
3,913,913,2,240,6,70.0,129000
3,1344,1344,2,513,7,34.0,98000
3,1144,1144,2,264,6,80.0,131400
5,2018,2018,2,746,10,89.0,378500
3,1432,1432,3,360,7,60.0,132000
4,1464,1464,2,754,6,49.0,282922
5,2340,2340,3,252,9,66.0,266500
3,892,892,2,288,5,65.0,100000
3,1095,1095,2,264,6,75.0,140000
3,1268,1268,3,252,5,0.0,143500
3,1993,1993,2,495,8,0.0,190000
4,1557,1557,2,420,7,0.0,234000
4,2217,2217,2,621,8,95.0,268000
3,1478,1478,1,442,6,70.0,156500
3,944,944,1,528,4,74.0,82000
3,1507,1507,2,404,7,70.0,127000
4,1787,1787,2,748,7,0.0,275000
3,720,720,2,287,4,0.0,72500
4,1708,1708,2,380,7,32.0,130000
3,1216,1216,2,336,6,80.0,118500
3,1050,1050,2,338,5,80.0,128900
3,764,764,2,504,4,30.0,73000
3,1716,1716,2,0,9,55.0,135900
3,1034,1034,2,888,6,0.0,169900
4,1904,1904,2,736,8,74.0,275000
3,1200,1200,2,312,7,84.0,125000
4,1530,1530,2,430,7,124.0,260000
4,1795,1795,2,534,7,75.0,230000
3,1204,1204,2,412,5,32.0,162000
3,1144,1144,2,336,6,71.0,124000
3,1121,1121,2,480,5,80.0,139000
3,1078,1078,2,500,6,0.0,149900
4,1680,1680,3,540,5,0.0,222000
4,1792,1792,2,564,7,80.0,231500
3,987,987,2,280,5,21.0,106000
4,2353,2353,3,484,10,94.0,260000
4,1861,1861,2,492,8,95.0,200000
3,789,789,2,250,5,50.0,115000
3,816,816,2,288,3,67.0,100000
3,1008,1008,3,240,6,66.0,134500
3,907,907,2,352,5,77.0,109008
4,2417,2417,2,462,9,121.0,260000
3,2138,2138,2,360,11,90.0,106000
4,1274,1274,2,508,6,68.0,203000
4,2290,2290,2,779,9,0.0,255900
4,848,848,2,420,4,0.0,140000
3,1032,1032,2,564,6,0.0,148000
4,848,848,2,420,3,0.0,149300
4,1266,1266,2,453,6,62.0,176000
3,1317,1317,2,250,6,50.0,40000
3,1040,1040,2,384,5,70.0,129500
3,1148,1148,2,672,6,70.0,132500
3,694,694,2,352,4,40.0,90350
3,1040,1040,2,400,6,0.0,87500
4,1228,1228,2,472,5,40.0,189000
4,1176,1176,3,624,4,50.0,134900
3,1666,1666,3,228,7,0.0,161000
4,1476,1476,2,540,7,64.0,173500
3,2526,2526,3,216,10,60.0,136000
3,520,754,3,0,5,60.0,84500
4,1604,1604,2,660,8,68.0,220000
3,1006,1006,1,0,5,0.0,80000
3,833,833,2,0,5,0.0,112000
3,1128,1128,2,286,5,75.0,118000
3,1687,1687,2,572,7,0.0,160000
4,2198,2198,2,836,9,84.0,250000
3,1265,1265,3,502,6,85.0,179900
3,1858,2229,2,0,8,92.0,104000
3,1350,1350,2,520,6,82.0,168500
4,2078,2078,2,836,8,85.0,339750
4,2365,2365,2,856,8,82.0,337000
3,1651,1651,2,616,7,47.0,184000
3,1138,1138,3,264,6,65.0,145000
3,894,894,2,384,5,99.0,125000
4,1710,1710,2,506,7,76.0,187000
3,1310,1310,2,398,6,50.0,112000
4,1036,1268,3,288,6,60.0,133000
3,1368,1368,3,216,7,60.0,114504
3,1411,1411,2,544,6,85.0,82500
4,1920,1920,2,451,8,0.0,172500
4,1548,1548,3,672,5,55.0,205000
3,1052,1052,3,440,6,80.0,155000
5,1478,1478,2,484,7,0.0,222000
4,1494,1494,2,840,7,91.0,279500
3,1216,1216,2,402,5,32.0,164000
4,1646,1646,2,482,5,44.0,275000
4,1500,1500,2,648,6,53.0,246578
3,970,970,2,624,5,80.0,132500
4,1601,1601,2,670,6,0.0,272000
4,1509,1509,2,393,7,0.0,183200
3,1712,1712,2,588,8,70.0,145000
3,1125,1125,2,430,5,74.0,155000
3,864,864,2,576,5,0.0,111250
3,1824,1824,2,0,8,94.0,139000
4,848,848,2,420,3,37.0,155900
4,1200,1200,2,480,4,30.0,151000
3,1820,1820,2,492,8,0.0,201800
3,1600,1600,2,460,7,57.0,169000
2,1044,1044,2,504,4,66.0,55993
3,882,882,2,0,4,55.0,103200
3,1430,1430,2,400,7,0.0,180000
3,1112,1112,1,336,4,36.0,85000
3,986,986,2,180,5,60.0,102000
4,1646,1646,2,800,7,71.0,293077
4,1826,1826,3,164,7,50.0,155000
3,1357,1357,3,312,5,124.0,177000
4,1256,1256,2,276,6,75.0,147500
3,2157,2157,2,487,8,88.0,226000
4,2110,2110,2,522,8,93.0,244000
3,1173,1173,2,528,6,85.0,170000
4,1621,1621,3,440,8,91.0,202500
3,1158,1158,3,208,5,50.0,120000
3,1482,1482,2,392,7,0.0,163900
3,1718,1718,2,427,7,74.0,185000
3,789,789,2,200,5,55.0,96500
3,1958,1958,2,492,8,82.0,145000
4,1694,1694,2,776,7,64.0,245350
3,2372,2372,2,432,11,60.0,107500
3,912,912,2,352,4,0.0,144000
4,1886,1886,2,431,10,0.0,199900
3,1393,1393,3,300,8,59.0,135500
4,2062,2062,2,454,7,0.0,277000
3,894,894,3,552,5,70.0,149900
3,1320,1320,2,564,6,96.0,164500
3,923,923,2,264,5,37.0,119500
4,2504,2504,2,656,11,77.0,325000
3,948,948,2,248,5,75.0,111000
3,1137,1137,2,551,5,54.0,176000
3,864,864,2,338,5,36.0,133500
3,981,981,2,576,5,0.0,143250
4,1908,1908,2,431,9,85.0,202900
4,1434,1434,2,527,6,65.0,189000
3,958,958,3,301,5,0.0,151500
3,790,790,2,160,4,52.0,91000
3,1416,1416,2,776,7,90.0,179900
3,1097,1097,2,672,6,112.0,145000
3,1442,1442,2,301,7,75.0,157900
3,884,884,3,504,5,0.0,144000
3,1040,1040,3,260,6,0.0,127000
4,1656,1656,2,397,7,60.0,165400
4,1364,1364,2,484,6,43.0,185850
3,1671,1671,2,472,7,58.0,173000
3,1768,1768,3,320,6,60.0,163000
3,1203,1203,2,352,5,0.0,110000
3,904,904,3,408,6,0.0,109900
3,968,968,2,216,5,60.0,64500
4,1456,1456,2,400,7,0.0,215000
3,1644,1644,2,418,7,80.0,167000
3,838,838,3,275,5,55.0,130000
3,900,900,3,576,5,60.0,134800
3,1520,1520,2,281,6,55.0,159434
5,1940,1940,2,606,8,83.0,395192
4,1626,1626,2,474,6,36.0,175500
3,1682,1682,2,530,7,80.0,174000
4,1363,1363,3,288,6,75.0,164900
4,1504,1504,2,437,7,43.0,191000
4,1629,1629,2,808,9,85.0,270000
3,720,720,3,484,5,60.0,105900
4,1382,1382,2,490,6,0.0,165000
3,1425,1425,2,576,7,100.0,180500
3,1660,1660,3,240,6,74.0,188700
3,1661,1661,2,377,8,80.0,165500
3,1584,1584,2,792,8,65.0,124000
4,1436,1436,2,484,8,65.0,210000
3,1344,1344,2,0,6,21.0,97000
3,1324,1324,2,440,6,84.0,160000
3,894,894,2,600,6,60.0,123000
4,1294,1294,2,662,6,64.0,193879
4,1504,1504,2,457,7,43.0,181000
4,1863,1863,2,660,9,58.0,219210
3,1365,1365,2,440,7,24.0,125000
3,2156,2156,3,508,9,0.0,262500
4,2060,2060,2,521,8,97.0,211000
3,1349,1349,2,539,6,65.0,179000
4,1218,1218,2,676,4,75.0,208300
3,864,864,2,288,4,60.0,120000
3,1250,1250,2,552,8,53.0,139000
3,1336,1336,2,375,5,90.0,157000
4,1314,1314,2,552,6,72.0,229456
5,1518,1518,2,588,6,62.0,274000
4,2295,2295,2,590,9,0.0,268000
4,1700,1700,2,544,7,70.0,200000
3,1768,1768,2,0,8,72.0,136500
3,1796,1796,2,546,7,0.0,211000
